Isolate,IS110,IS1182,IS1595,IS21,IS256,IS3,IS4,IS5,IS630,IS701,ISL3
YO043,0,0,0,0,1,0,0,8,0,0,0
YO111,0,0,0,0,1,0,0,8,0,0,0
YO041,0,1,0,0,0,0,0,1,0,0,0
YO077,0,0,0,0,6,0,0,0,0,0,0
YO134,0,1,0,0,0,0,0,3,0,0,0
YO033,7,1,0,0,0,0,0,0,0,0,0
YO088,0,1,0,0,1,1,0,21,0,0,0
YO098,0,0,0,0,1,1,0,20,0,0,0
YO189,0,1,0,0,1,1,0,15,0,0,0
YO381,0,0,0,0,1,1,0,20,0,0,0
YO015,0,1,0,0,0,0,0,28,0,2,0
YO016,0,1,0,0,0,0,0,22,0,2,0
YO014,0,1,0,0,0,0,0,0,0,2,0
YO021,0,0,2,0,2,27,7,22,0,5,2
YO018,0,0,2,0,2,27,6,26,0,5,2
YO191,0,0,2,0,2,25,6,26,0,5,1
YO080,0,0,2,0,2,25,6,26,0,2,3
YO156,0,0,2,0,2,28,6,27,0,5,3
YO020,0,0,2,0,2,31,5,30,0,5,3
YO081,0,0,2,0,2,25,7,27,0,5,2
YO149,0,0,2,0,3,21,7,8,0,2,1
YO007,0,0,2,0,4,22,3,9,0,2,2
YO005,0,0,2,0,4,23,4,10,0,2,2
YO075,0,0,2,0,3,22,5,13,0,2,3
YO151,0,0,2,0,3,22,6,11,0,2,2
YO042,2,0,2,0,5,14,0,7,1,0,3
YO037,2,0,1,0,6,16,0,8,1,0,3
YO155,2,0,2,0,5,16,0,7,1,0,3
YO038,2,0,2,0,5,16,0,7,1,0,3
YO034,2,0,2,0,5,17,0,6,0,0,3
YO130,0,0,0,0,0,4,0,0,0,0,1
YO150,1,0,0,0,0,9,0,7,0,0,3
YO187,0,0,0,0,0,12,0,6,0,1,6
YO027,2,0,0,0,5,11,0,28,0,0,0
YO074,2,0,0,0,8,11,0,25,0,0,0
YO154,0,0,0,0,2,3,0,4,0,0,0
YO101,0,0,0,0,5,14,0,33,0,10,0
YO028,2,0,0,0,0,14,0,37,0,1,0
YO133,6,0,0,0,0,7,0,6,0,2,3
YO009,3,0,0,0,0,7,0,8,0,1,5
YO124,0,0,0,0,0,2,0,3,0,1,0
YO141,0,0,0,0,0,10,2,26,0,2,0
YO139,0,0,0,0,0,9,1,27,0,2,0
YO136,0,0,0,0,0,10,1,27,0,2,0
YO138,0,0,0,0,0,10,2,30,0,2,0
YO140,0,0,0,0,0,8,1,27,0,2,0
YO137,0,0,0,0,0,10,1,28,0,2,0
YO163,3,0,0,0,0,10,1,17,0,3,0
YO079,3,0,0,0,0,13,1,18,0,3,0
YO164,3,0,0,0,0,11,1,15,0,3,0
YO122,2,0,0,0,0,11,0,15,0,3,0
YO194,2,0,0,0,0,11,0,18,0,3,0
