Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO245,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO173,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,1,0,0,0,0,0
YO341,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,0,0,0,0,1,0,0,0,0,0
YO272,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO062,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,0,0,0,0,0,0,0
YO260,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO267,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,1,0,0,0,0,0,0
YO261,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,0,0,0,0,0,0,0
YO306,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,0,0,0,0,0,0,0
YO221,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO263,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO051,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,0,1,0,0,0,0,0
YO165,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO013,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,1,1,1,0,0,0,0,0
YO132,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO004,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,1,0,1,0,0,0,0,0
YO146,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO218,1,0,0,1,1,0,0,0,6,0,0,0,1,3,0,58,1,0,1,1,1,0,0,0,0,0
YO342,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO228,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO229,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,0,0,0,0,0,0,0
YO270,1,0,0,0,1,0,0,0,6,0,0,0,1,4,0,67,0,0,0,1,1,0,0,0,0,0
YO354,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO183,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO302,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,1,0,0,0,0,0
YO181,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO236,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
YO086,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,0,1,0,0,0,0,0
YO301,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,0,0,0,0,0,0
YO246,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,1,1,0,0,0,0,0
YO223,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,0,0,0,0,0,0,0
